bx,by,bz
42.861,2.343,1.134
42.884,2.335,1.142
42.911,2.324,1.138
42.962,2.294,1.138
42.841,2.32,1.103
42.818,2.339,1.119
42.81,2.35,1.127
42.81,2.358,1.131
42.814,2.362,1.123
42.821,2.369,1.127
42.829,2.362,1.132
42.849,2.347,1.127
42.868,2.335,1.151
42.895,2.316,1.155
42.95,2.286,1.194
42.809,2.294,1.041
42.806,2.313,1.084
42.805,2.339,1.112
42.805,2.343,1.12
42.809,2.358,1.112
42.817,2.362,1.116
42.828,2.366,1.116
42.836,2.362,1.124
42.848,2.362,1.147
42.855,2.35,1.164
42.875,2.328,1.238
42.739,2.256,1.062
42.778,2.305,1.112
42.801,2.343,1.125
42.804,2.362,1.125
42.813,2.37,1.104
42.817,2.382,1.105
42.824,2.389,1.101
42.832,2.385,1.101
42.828,2.397,1.113
42.808,2.408,1.121
42.758,2.416,1.199
42.684,2.229,1.176
42.777,2.309,1.172
42.817,2.37,1.144
42.816,2.385,1.126
42.82,2.389,1.086
42.819,2.396,1.083
42.835,2.378,1.07
42.848,2.385,1.058
42.848,2.412,1.038
42.804,2.442,0.992
42.684,2.495,0.991
42.556,2.359,1.274
42.629,2.431,1.188
42.672,2.487,1.165
42.695,2.525,1.153
42.715,2.533,1.126
42.722,2.552,1.122
42.723,2.559,1.105
42.71,2.582,1.082
42.675,2.62,1.051
42.617,2.662,0.949
42.544,2.712,0.748
42.668,2.438,1.314
42.68,2.465,1.227
42.699,2.495,1.18
42.714,2.506,1.154
42.726,2.529,1.117
42.738,2.537,1.102
42.745,2.54,1.071
42.749,2.54,1.035
42.745,2.544,0.996
42.749,2.556,0.902
42.8,2.552,0.765
42.757,2.472,1.251
42.733,2.476,1.2
42.729,2.491,1.173
42.738,2.495,1.141
42.745,2.491,1.102
42.761,2.502,1.087
42.777,2.499,1.055
42.788,2.499,1.02
42.804,2.495,0.995
42.835,2.487,0.934
42.913,2.476,0.882
42.789,2.457,1.192
42.768,2.465,1.165
42.765,2.487,1.149
42.761,2.484,1.129
42.768,2.487,1.091
42.788,2.487,1.086
42.803,2.484,1.063
42.819,2.468,1.027
42.843,2.465,1.015
42.87,2.453,0.98
42.929,2.457,0.98
42.8,2.431,1.145
42.78,2.449,1.141
42.777,2.469,1.125
42.776,2.449,1.114
42.785,2.469,1.094
42.796,2.465,1.086
42.816,2.453,1.066
42.839,2.438,1.051
42.866,2.431,1.039
42.89,2.423,1.003
42.925,2.419,1.003
42.808,2.396,1.126
42.796,2.415,1.122
42.788,2.442,1.118
42.788,2.423,1.106
42.792,2.446,1.094
42.803,2.446,1.094
42.823,2.434,1.082
42.85,2.415,1.072
42.878,2.412,1.067
42.909,2.393,1.047
42.94,2.374,1.024
42.827,2.385,1.125
42.807,2.404,1.123
42.791,2.415,1.122
42.796,2.419,1.122
42.8,2.431,1.106
42.811,2.431,1.11
42.835,2.427,1.11
42.854,2.408,1.114
42.885,2.4,1.126
42.92,2.362,1.111
42.978,2.34,1.099
42.842,2.381,1.064
42.807,2.396,1.083
42.791,2.412,1.095
42.791,2.415,1.103
42.795,2.419,1.099
42.808,2.431,1.105
42.827,2.431,1.118
42.846,2.412,1.122
42.873,2.4,1.142
42.912,2.374,1.154
42.979,2.332,1.193
42.799,2.355,0.969
42.784,2.366,1.04
42.781,2.397,1.078
42.784,2.404,1.091
42.792,2.423,1.086
42.803,2.434,1.098
42.816,2.438,1.105
42.827,2.438,1.121
42.839,2.442,1.153
42.851,2.427,1.184
42.894,2.393,1.29
42.696,2.293,0.984
42.734,2.343,1.067
42.761,2.393,1.094
42.781,2.416,1.101
42.789,2.427,1.082
42.796,2.45,1.09
42.804,2.457,1.086
42.809,2.476,1.097
42.8,2.487,1.125
42.778,2.503,1.156
42.735,2.518,1.286
42.572,2.123,1.007
42.703,2.301,1.145
42.762,2.385,1.144
42.785,2.427,1.117
42.797,2.453,1.085
42.805,2.476,1.077
42.817,2.48,1.053
42.812,2.503,1.035
42.793,2.533,1.015
42.735,2.59,0.991
42.579,2.669,1.043
42.805,2.472,1.176
